Sku,Delivery_time,Product_id,category,level,url,brand,img,Variant,source_url,desc1,um,source,href,region_name,title,price1,Saller,price,desc
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/kcp-ppc-cement/,,,50,,,,,,,KCP PPC Cement,350.00,,340.00,
,,, Cement & RMC OPC 43 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-43-grade-cement/penna-43-grade-cement/,,,50,,,,,,,Penna 43 Grade Cement,355.00,,345.00,", Penna 43 Grade Cement, , Penna 43 grade cement is known for higher early strength and superior compressive strength, faster deshuttering of form work and speedy construction, reduction in construction time and savings in construction costs.\xa0Because of Low alkali content in cement, aggregate reaction with alkali is well within the control, which ensures durability to the structures. It is ideal\xa0for residential , commercial and all multi-storey buildings,\xa0RCC Works, hollow blocks, PCC solid, spun pipes, poles and all industrial application & culverts, bridges, dams, flyovers and others. It is also used for plastering and finishing work., "
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/nagarjuna-53-grade-cement/,,,50,,,,,,,Nagarjuna 53 grade Cement,340.00,,330.00,
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/maha-ppc-cement/,,,50,,,,,,,Maha PPC Cement,340.00,,335.00,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/maha-53-grade-cement/,,,50,,,,,,,Maha 53 Grade Cement,355.00,,345.00,
,,, Cement & RMC PPC & PSC Cement',3,http://buildkar.com/shop/cement-rmc/ppc-psc-cement/penna-ppc-cement/,,,50,,,,,,,Penna PPC Cement,355.00,,345.00,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/penna-53-grade-cement/,,,50,,,,,,,Penna 53 Grade Cement,360.00,,350.00,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-20a-starter-switch-motor-starter-switch-single-phase-240v/,,,1,,,,,,,Anchor Rider 20A starter switch (motor starter switch single phase)  -240V,370.00,,254.19,
,,, Electrical Sockets',3,http://buildkar.com/shop/electrical/sockets/anchor-rider-2-pin-round-socket/,,,1,,,,,,,Anchor Rider 2 pin Round socket,80.00,,54.96,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-25a-s-p-slim-1-way-power-switch-with-indicator-240v/,,,1,,,,,,,Anchor Rider 25A S.P. Slim 1 way power switch with indicator -240V,137.00,,94.12,
,,, Electrical Sockets',3,http://buildkar.com/shop/electrical/sockets/anchor-rider-16a-3-pin-socket-heavy-duty-power-socket/,,,1,,,,,,,Anchor Rider 16A 3 pin socket heavy duty (Power Socket),173.00,,118.85,
,,, Cement & RMC OPC 53 Grade Cement',3,http://buildkar.com/shop/cement-rmc/opc-53-grade-cement/jaypee-jp-53-grade-cement/,,,50,,,,,,,Jaypee JP 53 Grade Cement,370.00,,360.00,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-blank-plate-single/,,,1,,,,,,,Anchor Rider Blank plate single,21.00,,14.43,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-cat-5-frame-only-suitable-for-avaya-lucent-att/,,,1,,,,,,,Anchor Rider Cat 5 frame only suitable for Avaya Lucent (AT&T),105.00,,72.14,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-32a-d-p-mega-1-way-power-switch-240v/,,,1,,,,,,,Anchor Rider 32A D.P. Mega 1 way power switch  -240V,185.00,,127.10,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-bell-indicator/,,,1,,,,,,,Anchor Rider Bell indicator,185.00,,127.10,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-cord-outlet-with-grip/,,,1,,,,,,,Anchor Rider Cord outlet with grip,64.00,,43.97,
,,, Electrical Fan regulators and Dimmers',3,http://buildkar.com/shop/electrical/fan-regulators-and-dimmers/anchor-rider-dimmer-mega-650w/,,,1,,,,,,,Anchor Rider Dimmer Mega 650W,362.00,,248.69,
,,, Electrical Support Module',3,http://buildkar.com/shop/electrical/support-module/anchor-rider-blank-plate-double/,,,1,,,,,,,Anchor Rider Blank plate Double,35.00,,24.05,
,,, Electrical Switches',3,http://buildkar.com/shop/electrical/switches/anchor-rider-25a-starter-switch-motor-starter-switch-single-phase-240v/,,,1,,,,,,,Anchor Rider 25A starter switch (motor starter switch single phase)  -240V,370.00,,254.19,
,,, Electrical Fan regulators and Dimmers',3,http://buildkar.com/shop/electrical/fan-regulators-and-dimmers/anchor-rider-fan-step-regulator-mega-eme-240v/,,,1,,,,,,,Anchor Rider Fan step Regulator Mega EME-240V,391.00,,268.62,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-1-module/,,,1,,,,,,,Anchor Rider Front plates with base Frame 1 Module,59.00,,40.53,
,,, Electrical Switch Plates',3,http://buildkar.com/shop/electrical/switch-plates/anchor-rider-front-plates-with-base-frame-12-module-horizontal/,,,1,,,,,,,Anchor Rider Front plates with base Frame 12 Module-Horizontal,224.00,,153.89,
